2022-11-09 16:23:05 status half-configured libnettle6:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 status installed libnettle6:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 startup archives unpack
2022-11-09 16:23:05 upgrade libhogweed4:amd64 3.4.1-1 3.4.1-1+deb10u1
2022-11-09 16:23:05 status half-configured libhogweed4:amd64 3.4.1-1
2022-11-09 16:23:05 status unpacked libhogweed4:amd64 3.4.1-1
2022-11-09 16:23:05 status half-installed libhogweed4:amd64 3.4.1-1
2022-11-09 16:23:05 status unpacked libhogweed4:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 startup packages configure
2022-11-09 16:23:05 configure libhogweed4:amd64 3.4.1-1+deb10u1 <ninguna>
2022-11-09 16:23:05 status unpacked libhogweed4:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 status half-configured libhogweed4:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 status installed libhogweed4:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 startup archives unpack
2022-11-09 16:23:05 upgrade libp11-kit0:amd64 0.23.15-2 0.23.15-2+deb10u1
2022-11-09 16:23:05 status half-configured libp11-kit0:amd64 0.23.15-2
2022-11-09 16:23:05 status unpacked libp11-kit0:amd64 0.23.15-2
2022-11-09 16:23:05 status half-installed libp11-kit0:amd64 0.23.15-2
2022-11-09 16:23:05 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2022-11-09 16:23:05 startup packages configure
2022-11-09 16:23:05 configure libp11-kit0:amd64 0.23.15-2+deb10u1 <ninguna>
2022-11-09 16:23:05 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2022-11-09 16:23:05 status half-configured libp11-kit0:amd64 0.23.15-2+deb10u1
2022-11-09 16:23:05 status installed libp11-kit0:amd64 0.23.15-2+deb10u1
2022-11-09 16:23:05 startup archives unpack
2022-11-09 16:23:06 upgrade libgnutls30:amd64 3.6.7-4+deb10u3 3.6.7-4+deb10u9
2022-11-09 16:23:06 status half-configured libgnutls30:amd64 3.6.7-4+deb10u3
